Zip Code,Median Income,Median Age,Total Population,White Pop,Black Pop,Asian Pop,Hispanic Pop,Pacific Pop,Native Pop,Other Pop
88012,46510,31.5,26294,23399,399,295,16475,0,606,961
88021,26570,28.8,18864,17298,26,21,17463,0,25,1419
88030,29154,38.2,23552,21048,267,88,14691,31,297,1464
88061,42824,45,18655,16475,72,65,8615,4,283,1252
88063,25458,26.7,13354,12567,0,0,13157,0,21,698
88081,31726,28.1,15297,13507,174,3,13038,0,99,1284
88101,40655,30.7,46923,33716,3136,713,18873,41,620,7158
88130,36814,28.1,18980,13882,492,180,7824,6,245,3716
88201,48310,40.1,25911,21389,185,415,10101,36,162,3009
88203,35529,31.8,30909,23670,911,170,19385,4,522,4879
88210,52078,32.8,17243,14889,83,164,9001,0,470,1457
88220,51727,37.8,34794,30887,700,175,14218,38,227,2006
88240,52758,31.3,37635,32801,1821,95,20273,0,422,1554
88310,42581,39.4,36807,29253,1839,695,11554,55,779,2666
88312,47197,52.9,3136,2906,0,0,702,0,0,222
88317,46579,60.5,1386,1344,4,0,114,0,18,6
88337,47234,47.4,2442,2316,0,0,276,0,52,43
88339,53941,49,798,655,0,0,122,0,1,8
88345,46643,52.5,8868,7467,48,30,2088,0,381,633
88346,30922,34.2,3370,2740,0,0,1748,10,7,545
88352,38542,43.6,4880,4041,20,41,2012,0,232,438
89002,73266,36.1,33803,28021,1826,1369,4575,37,242,828
89005,55625,50,15157,14121,95,306,1338,35,84,211
89011,53653,37.5,18182,13857,1953,853,3447,51,63,720
89012,68845,43.5,29121,23789,1157,2505,3593,101,30,470
89014,52045,34.2,37758,27525,2903,2860,8095,378,48,2399
89015,49570,40.2,38429,30802,3172,1170,6681,62,299,1529
89021,73364,36.5,3387,3113,202,8,269,0,9,55
89027,45066,53,16072,13725,139,150,4052,34,136,1665
89029,35992,55.8,7819,6891,269,128,875,35,37,83
89030,28762,29,47727,24470,7072,511,34364,212,187,14211
89031,60644,33.8,63260,37286,10924,4274,20577,317,623,6186
89032,52110,30.5,43896,17008,12245,2100,17257,749,96,9978
89044,73263,52.5,16720,13165,700,1918,1862,134,51,278
89048,39099,53.2,20258,18305,493,215,2340,54,231,520
89052,75307,41.9,51378,39552,1828,7319,5944,147,130,818
89060,40726,49.9,9831,8515,436,49,1703,17,36,644
89061,55096,53.8,4938,3999,166,451,731,41,31,185
89074,67442,41,49123,37745,3014,4092,7900,207,172,1916
89081,56629,28.2,33917,17927,8344,2560,8688,525,24,2047
89084,70529,37.1,22405,13431,3774,2991,2968,238,142,738
89101,22309,33.1,43261,21956,6609,1509,25867,116,277,11233
89102,32884,33.7,37483,23209,2966,2519,20126,63,207,6835
89103,35676,38.1,49312,28899,6131,6048,15628,617,189,5883
89104,34728,37.9,39648,27644,2548,2451,22276,92,336,5620
89106,29375,32.7,26328,9497,10236,772,10655,230,239,4445
89107,41024,34.9,36423,23451,2729,1706,17031,161,436,6386
89108,41672,34.2,71634,42640,11137,2399,27287,421,715,10493
89109,45257,47.4,7013,5033,499,747,1677,17,91,387
89110,43859,30.8,71374,43293,5482,3391,43308,401,233,16440
89113,62396,36.7,25850,16090,2217,4869,5015,189,95,1229
89115,33469,26.5,61346,33182,11081,2052,32670,451,252,11152
89117,55095,40.9,54234,37447,3860,7508,9162,433,132,1801
89118,47544,37.2,20317,12023,2262,3535,4238,81,192,1114
89119,33787,34.2,46684,30484,5877,4140,18745,265,355,3760
89120,50384,41.1,23679,17141,1577,993,7009,97,146,2636
89121,37427,40.4,62991,41582,6619,2773,24645,290,574,9118
89122,45297,36.8,47561,28980,5037,5539,16587,419,204,4910
89123,59292,38.6,57579,41169,3574,5612,12644,1163,344,2330
89124,73393,54,798,752,0,10,95,3,17,13
89128,52761,37.6,38213,24444,4859,2997,9983,248,142,3368
89129,65607,38.2,52313,37426,4400,4188,9310,194,443,2758
89130,65309,42.6,32908,22222,4920,1679,6299,244,91,2237
89131,76950,37.1,44037,34837,3475,2394,7654,122,256,885
89134,62733,62.7,25264,21475,829,1588,2016,51,305,332
89135,91483,44.2,25473,20322,879,2773,3283,7,65,517
89138,105696,35.7,13120,9340,497,2339,1198,162,13,334
89139,68167,32.4,34250,15160,3055,11272,5313,585,270,1369
89141,86381,34.2,30163,19742,2841,5007,5512,67,365,589
89142,50236,32.7,31145,15296,2855,4192,15582,360,152,6882
89143,79866,31.8,11880,9155,986,516,2031,67,245,324
89144,75103,40.6,19600,13542,1449,2480,2292,913,24,603
89145,55994,42.6,24246,18680,1575,1642,5831,107,62,1023
89146,42955,40.4,18111,11606,1318,2577,5216,39,71,1668
89147,53223,38.2,51606,30010,6280,9805,10451,135,331,2636
89148,63065,32.8,43498,26146,3061,9956,8085,360,196,1278
89149,68329,35.7,35657,25817,4090,2361,5178,223,320,939
